TEAM,YEAR,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST_RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
Chicago Bulls,1997,82,62,20,3971.0,106.2,98.4,7.8,63.7,1.66,18.0,38.1,67.6,52.7,15.8,47.3,51.6,90.30,56.0,"7,471"
Utah Jazz,1997,82,62,20,3956.0,110.9,103.8,7.2,69.2,1.64,19.4,35.2,68.4,52.9,16.9,51.0,56.9,90.55,57.1,"7,464"
Los Angeles Lakers,1997,82,61,21,3966.0,110.4,102.3,8.1,63.9,1.60,18.1,33.9,65.6,50.3,16.0,51.9,55.9,94.85,55.8,"7,836"
Seattle SuperSonics,1997,82,61,21,3951.0,110.1,102.3,7.9,65.1,1.73,18.7,32.1,63.5,48.1,15.3,52.1,55.8,90.96,54.4,"7,487"
Indiana Pacers,1997,82,58,24,3966.0,106.3,99.5,6.8,64.7,1.62,18.3,30.5,65.7,49.0,15.8,50.2,55.0,89.69,55.3,"7,410"
Phoenix Suns,1997,82,56,26,3991.0,106.3,100.6,5.6,67.7,1.72,19.3,32.1,66.4,49.7,16.1,50.0,54.0,92.47,54.7,"7,685"
San Antonio Spurs,1997,82,56,26,3966.0,102.4,98.0,4.4,63.5,1.40,17.7,32.6,69.6,52.4,17.8,49.3,53.1,89.65,55.1,"7,407"
Miami Heat,1997,82,55,27,3951.0,105.7,100.5,5.2,61.7,1.43,17.0,33.9,66.9,50.8,16.6,49.4,53.8,89.35,53.5,"7,367"
Charlotte Hornets,1997,82,51,31,3956.0,105.5,103.3,2.2,65.4,1.56,18.3,32.6,69.1,51.0,16.6,49.5,54.2,91.13,52.6,"7,511"
Atlanta Hawks,1997,82,50,32,3976.0,106.5,102.5,4.0,54.3,1.29,15.3,35.6,66.9,51.8,16.5,48.1,53.3,89.10,53.2,"7,377"
Cleveland Cavaliers,1997,82,47,35,3966.0,100.3,97.5,2.8,67.2,1.33,17.8,33.0,67.8,50.8,18.8,47.8,52.9,91.43,52.8,"7,561"
Portland Trail Blazers,1997,82,46,36,3966.0,102.4,100.8,1.6,61.2,1.28,16.6,35.5,68.5,52.5,18.3,47.6,52.4,91.46,51.2,"7,555"
Minnesota Timberwolves,1997,82,45,37,3986.0,106.4,105.5,0.8,65.5,1.82,18.6,33.3,65.7,49.7,14.6,48.3,52.9,93.89,51.5,"7,793"
New Jersey Nets,1997,82,43,39,3976.0,105.8,104.3,1.5,55.2,1.43,15.3,38.3,65.0,50.8,15.3,46.3,51.3,93.16,49.7,"7,723"
New York Knicks,1997,82,43,39,3966.0,101.5,98.8,2.7,62.4,1.43,17.3,31.9,70.3,51.2,16.9,47.6,52.1,89.53,51.7,"7,398"
Washington Wizards,1997,82,42,40,3961.0,103.9,103.2,0.7,61.7,1.64,17.5,33.9,67.3,50.1,15.1,47.6,51.3,92.98,50.7,"7,669"
Houston Rockets,1997,82,41,41,3966.0,105.9,106.8,-0.9,61.1,1.39,16.9,32.4,67.2,49.9,17.0,49.6,54.4,92.52,49.0,"7,649"
Orlando Magic,1997,82,41,41,3966.0,101.0,102.2,-1.2,61.1,1.35,16.3,37.0,64.6,50.5,17.2,45.2,49.9,88.51,48.9,"7,315"
Detroit Pistons,1997,82,37,45,3991.0,103.4,101.8,1.6,55.8,1.33,15.5,33.2,66.8,50.0,16.0,47.2,52.3,89.75,50.5,"7,468"
Boston Celtics,1997,82,36,46,3946.0,100.8,103.5,-2.7,60.3,1.37,16.5,35.2,64.2,48.4,17.1,46.4,50.4,94.90,45.7,"7,800"
Milwaukee Bucks,1997,82,36,46,3986.0,101.5,103.7,-2.2,56.5,1.19,15.7,34.0,66.4,50.1,18.1,47.5,52.7,91.90,48.3,"7,637"
Philadelphia 76ers,1997,82,31,51,3951.0,101.1,103.3,-2.3,60.9,1.28,16.3,34.1,66.0,49.9,17.9,46.2,51.4,92.11,47.8,"7,570"
Sacramento Kings,1997,82,27,55,3946.0,99.1,105.0,-5.9,62.1,1.44,17.0,32.8,64.3,48.3,16.5,46.4,50.2,93.78,45.8,"7,709"
Dallas Mavericks,1997,82,20,62,3981.0,98.9,105.2,-6.3,53.3,1.30,14.9,30.6,63.2,46.6,15.6,45.8,49.8,91.47,44.6,"7,575"
Golden State Warriors,1997,82,19,63,3966.0,93.9,103.5,-9.6,60.0,1.25,15.7,35.6,66.4,50.5,17.8,42.7,46.8,93.31,42.3,"7,707"
Vancouver Grizzlies,1997,82,19,63,3966.0,102.4,110.2,-7.8,65.2,1.40,17.9,34.0,65.2,49.6,18.2,48.2,52.7,93.60,45.2,"7,735"
Los Angeles Clippers,1997,82,17,65,3956.0,101.8,109.6,-7.7,52.3,1.16,14.6,33.0,63.8,48.1,17.1,47.7,51.8,93.74,43.7,"7,723"
Toronto Raptors,1997,82,16,66,3986.0,99.4,108.9,-9.5,58.9,1.27,16.0,33.9,60.2,46.6,17.5,46.2,50.4,94.36,43.1,"7,829"
Denver Nuggets,1997,82,11,71,3946.0,97.4,110.6,-13.2,57.8,1.18,15.0,33.7,63.9,48.2,17.5,44.0,49.6,91.06,40.7,"7,496"
