TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
San Antonio Spurs,1998,50,37,13,.740,48.3,92.8,34.8,76.2,45.6,3.4,10.4,33.0,19.8,28.3,69.8,12.3,31.7,44.0,22.0,15.2,8.4,7.0,4.9,20.2,0.1,8.1
Utah Jazz,1998,50,37,13,.740,48.7,93.3,33.7,72.4,46.5,2.8,7.8,36.1,23.2,30.2,76.7,11.1,30.2,41.3,24.1,16.3,8.0,5.5,5.3,22.7,0.1,6.5
Portland Trail Blazers,1998,50,35,15,.700,48.7,94.8,34.9,79.1,44.2,4.9,13.5,36.4,20.0,27.0,74.3,12.9,31.4,44.3,21.5,15.4,8.2,5.8,4.9,22.5,0.2,6.4
Indiana Pacers,1998,50,33,17,.660,48.4,94.7,34.6,77.3,44.8,5.9,16.0,36.8,19.5,24.6,79.6,11.5,29.0,40.5,20.1,13.0,6.3,4.5,4.8,21.6,0.2,3.7
Miami Heat,1998,50,33,17,.660,48.1,89.0,32.3,71.3,45.3,5.8,16.1,35.9,18.6,25.2,73.5,10.1,30.2,40.3,20.4,14.9,6.5,6.1,3.8,20.7,0.1,5.0
Orlando Magic,1998,50,33,17,.660,48.2,89.5,33.7,78.9,42.8,4.5,13.5,33.0,17.5,25.0,70.0,13.8,28.9,42.7,21.3,16.4,9.9,4.3,4.8,18.7,0.1,2.6
Atlanta Hawks,1998,50,31,19,.620,48.3,86.3,30.8,75.2,40.9,3.9,12.9,30.6,20.8,28.4,73.1,13.5,30.0,43.5,15.6,14.9,6.9,5.2,4.9,19.7,0.2,2.9
Houston Rockets,1998,50,31,19,.620,48.3,94.2,35.1,76.0,46.2,6.7,18.3,36.8,17.3,23.7,72.9,10.7,30.8,41.5,21.2,16.2,7.7,5.2,4.9,19.2,0.1,2.3
Los Angeles Lakers,1998,50,31,19,.620,48.2,99.0,36.8,78.7,46.8,4.8,13.7,35.2,20.5,30.1,68.3,12.3,29.6,42.0,21.9,15.1,7.8,5.7,3.9,24.6,0.1,3.0
Detroit Pistons,1998,50,29,21,.580,48.2,90.4,33.2,74.3,44.7,5.0,13.6,36.5,19.0,25.7,74.0,12.1,28.2,40.3,20.2,15.8,8.9,4.2,4.5,22.8,0.1,3.4
