,TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%,W_RANK,L_RANK,OFFRTG_RANK,DEFRTG_RANK,NETRTG_RANK,AST%_RANK,AST/TO_RANK,AST_RATIO_RANK,OREB%_RANK,DREB%_RANK,REB%_RANK,TOV%_RANK,EFG%_RANK,TS%_RANK,PACE_RANK,PIE_RANK,WIN%_RANK,PTS_RANK,FGM_RANK,FGA_RANK,FG%_RANK,3PM_RANK,3PA_RANK,3P%_RANK,FTM_RANK,FTA_RANK,FT%_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,+/-_RANK
0,Detroit Pistons,2005,82,64,18,0.78,48.4,96.8,36.4,80.0,45.5,6.8,17.7,38.4,17.3,23.8,72.7,11.9,28.6,40.5,24.0,11.4,7.1,6.0,3.5,18.5,20.9,6.7,66.1,2.12,18.9,101.7,68.0,49.7,7.6,109.3,31.7,87.98,55.7,"7,268",49.7,12.8,53.5,1,30,4,26,1,2,1,2,8,23,16,30,7,16,29,1,1,19,11,11,12,6,10,3,27,26,23,9,24,18,2,30,16,2,29,30,26,2
1,San Antonio Spurs,2005,82,63,19,0.768,48.3,95.6,36.5,77.3,47.2,6.4,16.6,38.5,16.2,23.1,70.2,10.4,31.1,41.5,20.9,13.7,6.6,5.7,4.2,20.9,20.6,6.8,57.4,1.52,17.0,98.7,70.8,51.3,7.5,106.2,28.9,89.41,55.4,"7,382",50.5,15.3,54.6,2,29,10,30,2,17,5,6,23,7,11,18,3,7,23,2,2,20,8,20,3,10,16,2,29,28,28,22,7,12,10,24,23,5,25,26,29,1
2,Dallas Mavericks,2005,82,60,22,0.732,48.5,99.1,36.0,77.7,46.2,5.1,13.6,37.4,22.2,28.3,78.3,12.6,29.6,42.2,18.0,13.6,7.2,6.0,4.9,22.4,23.6,6.1,50.0,1.32,14.6,103.2,69.0,49.5,6.7,109.9,34.7,89.3,55.1,"7,397",52.2,15.0,55.0,3,28,2,22,3,30,23,28,2,18,2,20,10,5,25,3,3,9,15,18,7,21,21,8,3,5,6,3,16,6,29,25,13,3,11,20,4,3
3,Phoenix Suns,2005,82,54,28,0.659,48.7,108.4,41.8,87.4,47.9,10.2,25.6,39.9,14.5,18.0,80.6,9.5,32.3,41.8,26.6,13.3,6.7,5.0,3.4,20.5,19.8,5.5,63.5,2.0,19.5,104.7,69.0,53.7,5.4,110.2,25.6,96.92,54.7,"8,067",48.0,13.5,56.8,4,27,1,15,4,4,2,1,30,19,28,29,1,1,1,4,4,1,1,1,1,1,1,1,30,30,1,30,3,10,1,28,22,12,30,28,30,4
4,Miami Heat,2005,82,52,30,0.634,48.2,99.9,37.1,77.5,47.8,6.1,17.6,34.5,19.7,28.2,70.0,10.5,32.6,43.1,20.6,14.5,6.4,5.4,3.6,22.8,23.6,3.9,55.7,1.43,16.4,103.4,72.6,51.7,4.1,107.5,29.7,92.56,53.8,"7,622",51.9,15.6,55.6,5,26,7,21,5,19,15,13,18,2,3,14,2,2,12,5,5,6,4,19,2,12,11,20,17,7,29,20,2,1,17,13,28,8,28,15,5,5
5,Cleveland Cavaliers,2005,82,50,32,0.61,48.4,97.6,35.5,78.2,45.4,6.1,17.9,33.9,20.6,28.3,72.9,11.7,30.6,42.3,19.0,13.9,6.9,4.8,4.4,21.1,22.5,2.2,53.6,1.37,15.3,104.4,71.7,49.2,2.1,106.6,31.3,90.77,51.0,"7,510",51.4,15.1,53.8,6,25,9,16,8,24,20,24,10,4,6,19,12,12,20,13,6,15,20,17,14,13,9,23,9,6,21,11,9,4,24,20,18,15,21,25,19,8
6,Memphis Grizzlies,2005,82,49,33,0.598,48.4,92.2,33.5,74.7,44.8,7.2,19.2,37.4,18.0,25.3,71.1,10.2,29.0,39.2,19.3,13.8,7.3,5.4,5.6,21.4,22.8,3.7,57.8,1.4,16.1,100.4,69.0,49.6,4.1,104.5,29.8,87.39,51.6,"7,232",49.6,15.7,53.7,7,23,16,29,6,15,17,15,17,20,19,11,8,15,30,8,7,27,28,30,20,5,6,9,24,23,27,25,20,28,22,23,10,9,1,24,16,6
7,New Jersey Nets,2005,82,49,33,0.598,48.2,93.8,33.9,77.0,44.0,5.8,17.6,33.0,20.2,26.7,75.8,10.0,31.0,41.0,23.0,13.6,6.8,3.4,4.0,23.2,23.0,1.4,67.8,1.68,18.2,100.9,73.0,47.8,1.5,102.4,27.4,91.17,51.3,"7,513",50.1,14.9,52.8,8,24,24,28,13,1,3,3,29,1,13,22,25,22,18,11,8,24,27,23,26,16,12,28,12,12,9,27,8,17,4,26,19,27,27,11,14,13
8,Los Angeles Clippers,2005,82,47,35,0.573,48.3,97.2,36.5,78.6,46.5,3.5,10.3,34.4,20.7,26.1,79.1,10.1,33.0,43.1,20.8,14.5,6.5,6.1,4.3,22.8,21.7,1.6,57.1,1.44,16.5,102.2,71.9,48.7,1.6,103.8,28.6,92.99,52.3,"7,675",51.3,15.4,54.0,9,22,19,24,12,18,13,11,26,3,7,16,16,10,11,6,9,16,9,15,6,30,29,21,8,19,2,26,1,2,14,14,24,1,23,16,24,11
9,Los Angeles Lakers,2005,82,45,37,0.549,48.4,99.4,36.5,80.6,45.3,6.7,19.3,34.9,19.7,26.5,74.5,11.8,30.3,42.2,21.1,13.9,7.7,4.3,4.3,23.1,23.5,2.5,58.0,1.52,16.5,104.2,70.1,49.5,2.6,106.8,31.6,92.22,51.8,"7,632",50.7,15.0,53.9,10,21,8,17,7,13,6,12,9,11,8,21,11,11,15,7,10,7,10,9,18,8,5,17,18,15,15,10,10,7,9,21,5,18,24,13,7,7
