TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,AST%,AST/TO,AST_RATIO,DEFRTG,DREB%,EFG%,NETRTG,OFFRTG,OREB%,PACE,PIE,POSS,REB%,TOV%,TS%
Cleveland Cavaliers,2009,82,61,21,0.744,48.2,102.1,37.8,77.9,48.5,7.3,19.3,38.1,19.1,26.6,72.0,9.6,32.8,42.5,22.4,13.9,6.9,5.2,4.0,19.4,20.8,6.5,59.2,1.61,17.7,103.8,72.5,53.2,6.8,110.6,29.3,91.77,55.2,"7,573",51.9,15.0,57.0
Orlando Magic,2009,82,59,23,0.72,48.1,102.8,36.6,78.0,47.0,10.3,27.3,37.5,19.2,26.5,72.4,9.9,33.4,43.2,19.7,14.1,6.2,5.6,3.5,19.9,22.2,7.5,53.7,1.4,15.8,102.8,72.6,53.6,7.9,110.7,28.0,92.54,55.1,"7,614",51.2,15.2,57.3
Los Angeles Lakers,2009,82,57,25,0.695,48.4,101.7,38.3,83.8,45.7,6.5,19.0,34.1,18.5,24.2,76.5,11.9,32.5,44.3,21.1,13.4,7.5,4.9,4.4,19.4,21.2,4.7,55.0,1.58,16.2,102.7,70.8,49.6,4.9,107.6,31.4,93.73,52.9,"7,749",51.2,14.1,53.8
Dallas Mavericks,2009,82,55,27,0.671,48.5,102.0,38.3,82.4,46.4,6.8,18.3,37.2,18.6,22.8,81.6,10.2,31.5,41.7,23.4,12.9,7.6,5.5,4.1,19.1,20.1,2.7,61.1,1.81,18.0,105.0,69.7,50.6,2.8,107.8,27.9,93.6,53.4,"7,757",49.3,13.7,55.2
Phoenix Suns,2009,82,54,28,0.659,48.1,110.2,40.7,82.8,49.2,8.9,21.6,41.2,19.9,25.8,77.0,11.1,31.9,43.0,23.3,14.8,5.8,5.1,4.5,20.9,21.8,4.9,57.3,1.58,17.5,109.1,67.3,54.6,4.8,113.9,31.1,96.43,53.6,"7,937",50.3,15.2,58.5
Atlanta Hawks,2009,82,53,29,0.646,48.4,101.7,38.8,82.9,46.8,6.4,17.7,36.0,17.7,23.3,75.9,11.8,29.9,41.7,21.8,12.0,7.2,5.0,4.4,19.9,19.3,4.7,56.2,1.83,17.1,106.0,68.5,50.6,4.9,111.0,32.0,90.77,52.3,"7,515",50.2,13.0,54.5
Denver Nuggets,2009,82,53,29,0.646,48.2,106.5,38.1,81.4,46.8,6.6,18.5,35.9,23.6,30.6,77.2,10.8,30.5,41.4,21.0,13.9,8.3,5.1,5.3,22.5,23.7,4.1,55.0,1.51,16.1,106.5,68.7,50.9,4.4,110.8,30.4,95.61,52.4,"7,876",49.8,14.4,56.1
Utah Jazz,2009,82,53,29,0.646,48.2,104.2,39.4,80.2,49.1,5.4,14.7,36.4,20.2,27.2,74.1,10.6,31.6,42.2,26.7,15.2,8.2,4.9,5.4,22.7,22.2,5.3,67.8,1.76,19.8,104.0,71.8,52.4,5.7,109.7,31.3,94.68,55.0,"7,791",52.0,16.0,56.5
Boston Celtics,2009,82,50,32,0.61,48.2,99.2,37.1,76.8,48.3,6.1,17.5,34.8,19.0,25.5,74.6,8.7,29.9,38.6,23.5,14.9,8.5,4.9,4.7,22.1,21.7,3.7,63.5,1.58,18.5,103.2,69.7,52.2,3.7,106.9,27.4,92.22,54.0,"7,609",49.3,16.0,56.4
Oklahoma City Thunder,2009,82,50,32,0.61,48.3,101.5,37.4,80.8,46.2,5.1,15.0,34.0,21.7,27.0,80.5,11.7,31.8,43.5,20.0,15.0,8.0,5.9,4.7,21.3,21.4,3.5,53.5,1.34,15.5,103.5,69.4,49.4,3.5,107.0,32.0,94.13,53.2,"7,774",51.1,15.8,54.7
Portland Trail Blazers,2009,82,50,32,0.61,48.4,98.1,36.3,78.7,46.1,6.0,16.9,35.4,19.6,24.8,79.0,11.1,29.1,40.2,20.4,12.3,6.4,4.3,4.1,20.9,21.5,3.3,56.3,1.65,16.6,106.1,70.2,49.9,3.5,109.6,32.0,88.64,52.5,"7,339",51.0,13.8,54.7
San Antonio Spurs,2009,82,50,32,0.61,48.2,101.4,38.4,81.2,47.3,6.8,18.9,35.8,17.8,24.0,74.0,10.8,32.0,42.8,22.3,13.6,6.3,4.6,5.1,20.4,20.4,5.1,58.1,1.64,17.4,103.9,72.0,51.5,5.4,109.3,30.3,92.26,53.2,"7,605",51.5,14.7,55.2
Miami Heat,2009,82,47,35,0.573,48.5,96.5,36.4,79.5,45.8,6.0,17.4,34.6,17.7,23.5,75.2,10.7,31.1,41.8,18.9,13.2,7.4,5.6,4.3,20.9,20.0,2.3,51.9,1.43,15.4,103.4,70.1,49.6,2.4,105.7,29.4,90.3,52.2,"7,485",50.0,14.4,53.7
Milwaukee Bucks,2009,82,46,36,0.561,48.7,97.7,37.2,85.3,43.6,7.9,22.1,35.6,15.4,20.4,75.5,11.8,31.2,43.0,21.2,13.2,7.1,4.7,5.1,22.2,20.3,1.7,57.0,1.6,16.4,101.9,72.6,48.2,2.1,104.0,29.8,92.6,49.5,"7,698",50.1,14.1,51.8
Charlotte Bobcats,2009,82,44,38,0.537,48.5,95.3,34.9,76.9,45.3,5.6,16.2,34.6,20.0,26.6,75.1,10.5,30.4,40.8,20.2,15.7,7.7,5.4,6.1,19.5,22.0,1.5,58.0,1.29,16.1,102.0,69.8,49.0,1.9,103.9,31.5,90.91,51.8,"7,519",51.0,17.2,53.8
Houston Rockets,2009,82,42,40,0.512,48.5,102.4,37.7,84.4,44.7,7.9,22.4,35.1,19.0,24.7,77.2,11.8,30.1,42.0,21.8,14.5,7.1,3.9,6.5,20.9,22.4,-0.4,57.9,1.51,16.5,106.8,69.9,49.4,0.0,106.8,30.9,94.91,48.9,"7,857",49.8,15.1,53.7
Chicago Bulls,2009,82,41,41,0.5,48.5,97.5,37.6,83.2,45.1,4.3,13.0,33.0,18.0,23.9,75.4,11.4,33.1,44.5,20.8,14.3,6.5,5.8,5.3,20.1,20.0,-1.6,55.3,1.45,16.0,104.2,70.9,47.7,-1.6,102.6,30.3,94.02,50.0,"7,794",50.9,15.1,52.0
Memphis Grizzlies,2009,82,40,42,0.488,48.5,102.5,39.3,83.8,46.9,4.2,12.4,33.7,19.7,26.9,73.3,13.0,30.4,43.5,18.8,15.2,7.9,4.9,6.1,20.2,22.4,-1.5,47.9,1.24,14.4,109.0,69.8,49.4,-1.5,107.5,35.5,94.29,48.6,"7,816",52.3,16.0,53.6
Toronto Raptors,2009,82,40,42,0.488,48.2,104.1,39.0,80.9,48.2,6.3,17.0,37.1,19.7,25.8,76.4,9.8,30.6,40.4,22.0,13.4,5.7,4.7,4.4,22.2,21.1,-1.8,56.4,1.64,17.1,112.2,69.2,52.1,-2.0,110.2,28.8,93.94,48.9,"7,746",49.5,14.2,56.4
New Orleans Hornets,2009,82,37,45,0.451,48.4,100.2,38.8,83.4,46.4,7.0,19.2,36.3,15.8,20.3,77.8,10.4,29.9,40.3,22.3,13.5,7.6,3.7,4.5,19.6,19.5,-2.5,57.5,1.66,17.3,108.9,69.6,50.6,-2.4,106.5,28.2,93.53,48.4,"7,721",48.6,14.3,54.3
Indiana Pacers,2009,82,32,50,0.39,48.1,100.8,36.8,83.2,44.3,8.0,23.1,34.8,19.1,24.6,77.5,9.6,31.9,41.5,21.1,15.0,7.1,5.4,5.0,22.5,20.8,-3.0,57.3,1.4,16.1,106.0,69.0,49.1,-3.0,103.0,25.5,97.77,47.6,"8,024",47.3,15.4,53.6
Los Angeles Clippers,2009,82,29,53,0.354,48.1,95.7,36.6,80.5,45.5,5.9,17.8,33.2,16.6,22.8,73.0,11.3,30.5,41.8,22.1,15.7,6.5,5.7,4.4,19.3,19.4,-6.4,60.3,1.41,17.1,109.1,69.7,49.1,-6.8,102.3,30.5,93.44,46.5,"7,670",50.0,16.8,52.9
New York Knicks,2009,82,29,53,0.354,48.5,102.1,38.1,83.9,45.5,9.1,26.2,34.6,16.8,21.5,78.2,10.2,30.2,40.4,21.6,14.0,7.1,3.7,4.5,20.0,19.2,-3.8,56.7,1.54,16.6,110.3,69.1,50.9,-4.0,106.4,26.8,95.03,47.4,"7,872",47.6,14.6,54.7
Detroit Pistons,2009,82,27,55,0.329,48.2,94.0,35.9,80.5,44.5,4.6,14.5,31.4,17.7,24.4,72.8,12.8,27.3,40.2,19.4,13.4,7.3,3.8,4.9,22.2,20.8,-5.1,54.1,1.45,15.5,110.3,69.7,47.4,-5.9,104.5,34.6,89.46,44.8,"7,379",51.0,14.9,51.5
Philadelphia 76ers,2009,82,27,55,0.329,48.3,97.7,37.6,81.8,46.0,5.8,16.8,34.3,16.7,22.0,75.6,11.5,29.5,41.0,21.0,14.5,8.1,5.4,4.0,20.5,18.7,-3.9,55.8,1.45,16.4,108.9,69.3,49.6,-4.1,104.8,31.0,92.72,47.8,"7,648",49.8,15.6,53.4
Golden State Warriors,2009,82,26,56,0.317,48.1,108.8,40.6,86.5,46.9,7.7,20.6,37.5,19.9,25.4,78.2,9.2,29.2,38.4,22.4,14.7,9.3,4.1,5.0,23.0,21.4,-3.6,55.2,1.53,16.5,110.3,65.9,51.4,-3.3,107.0,25.4,101.52,47.0,"8,338",45.3,14.4,55.7
Washington Wizards,2009,82,26,56,0.317,48.4,96.2,36.7,81.7,44.9,5.3,14.9,35.3,17.6,23.1,76.2,11.8,30.0,41.8,19.0,14.9,6.0,5.1,5.1,21.4,20.5,-4.8,51.8,1.28,15.0,108.3,69.1,48.1,-5.3,103.1,31.7,92.6,46.2,"7,656",50.1,15.9,52.4
Sacramento Kings,2009,82,25,57,0.305,48.5,100.0,38.3,84.1,45.6,5.9,16.9,34.9,17.4,24.0,72.6,11.9,30.7,42.6,20.5,15.0,6.9,4.5,5.7,22.3,20.1,-4.4,53.4,1.37,15.7,109.1,70.0,49.1,-4.7,104.4,31.5,94.78,46.7,"7,855",50.4,15.6,52.8
Minnesota Timberwolves,2009,82,15,67,0.183,48.2,98.2,37.9,84.4,44.9,4.9,14.4,34.1,17.5,23.5,74.6,11.7,31.2,42.9,19.8,16.3,7.3,3.7,5.4,20.7,20.6,-9.6,52.4,1.22,15.0,110.4,70.5,47.8,-9.8,100.6,30.8,97.12,43.2,"8,002",50.1,16.7,51.8
New Jersey Nets,2009,82,12,70,0.146,48.2,92.4,34.3,79.9,42.9,4.6,14.5,31.8,19.2,24.6,78.0,10.9,28.8,39.7,18.8,14.4,7.0,4.8,5.1,20.0,20.1,-9.1,54.7,1.3,15.1,108.9,68.6,45.8,-9.6,99.3,28.5,92.65,42.9,"7,628",47.8,15.5,50.9
