TEAM,YEAR,IS_CHAMP,WIN%,PTS,FGM,FTA,DREB,NETRTG,PIE,REB%,FGA_RANK,3PM_RANK,3PA_RANK,FTM_RANK,FT%_RANK,OREB_RANK,BLKA_RANK,PF_RANK
Chicago Bulls,1996,1,0.841,103.1,40.0,22.5,30.0,11.8,58.6,52.4,3,11,11,26,12,3,28,27
Utah Jazz,1996,0,0.78,103.1,38.2,29.5,29.4,9.8,59.0,51.8,27,27,29,1,3,28,20,2
Miami Heat,1996,0,0.744,94.8,34.4,24.7,29.3,6.0,53.6,50.4,25,1,1,22,23,21,16,7
Houston Rockets,1996,0,0.695,100.6,37.0,24.3,31.3,4.7,53.6,51.4,14,2,2,16,7,24,21,28
New York Knicks,1996,0,0.695,95.4,35.1,25.8,30.7,3.4,53.7,51.9,26,18,20,11,11,20,27,1
Seattle SuperSonics,1996,0,0.695,100.9,36.5,28.0,27.7,8.5,56.2,50.0,19,9,7,3,8,17,10,16
Atlanta Hawks,1996,0,0.683,94.8,34.3,23.8,28.7,6.2,53.9,50.5,22,3,3,18,4,14,26,29
Los Angeles Lakers,1996,0,0.683,100.0,36.8,28.4,29.4,4.2,53.0,50.1,9,10,8,8,29,7,19,13
Charlotte Hornets,1996,0,0.659,98.9,36.4,24.2,28.0,2.1,52.8,49.5,21,5,13,13,2,26,24,24
Detroit Pistons,1996,0,0.659,94.2,34.5,24.3,28.0,5.9,53.0,49.2,28,7,9,20,14,29,29,25
Portland Trail Blazers,1996,0,0.598,99.0,36.6,27.6,30.4,4.2,52.7,52.7,15,13,12,9,26,12,11,5
Orlando Magic,1996,0,0.549,94.1,34.6,24.1,27.1,-0.5,48.6,49.0,13,8,5,21,13,11,13,26
Washington Bullets,1996,0,0.537,99.4,39.1,24.1,29.5,1.5,52.5,50.3,8,28,27,24,28,18,25,15
Cleveland Cavaliers,1996,0,0.512,87.5,33.0,21.6,26.3,1.9,51.2,49.9,29,14,21,28,19,27,23,10
Minnesota Timberwolves,1996,0,0.488,96.1,35.8,26.6,28.1,-1.7,50.1,48.8,18,26,25,7,9,22,7,14
Phoenix Suns,1996,0,0.488,102.8,38.3,25.9,29.0,0.9,50.9,48.2,5,12,10,10,5,25,22,22
Indiana Pacers,1996,0,0.476,95.4,34.8,28.5,29.1,1.3,50.4,50.6,24,22,24,5,21,15,14,3
Los Angeles Clippers,1996,0,0.439,97.2,36.5,25.3,27.3,-2.8,47.5,49.2,6,17,17,14,17,8,15,4
Sacramento Kings,1996,0,0.415,96.4,36.6,25.2,28.1,-4.3,47.0,50.2,11,24,26,19,20,5,12,6
Milwaukee Bucks,1996,0,0.402,95.3,36.2,25.7,27.6,-2.0,47.7,50.1,23,29,28,12,15,23,17,9
Golden State Warriors,1996,0,0.366,99.6,36.5,26.6,27.5,-5.0,46.4,49.7,12,15,15,4,1,10,18,18
Toronto Raptors,1996,0,0.366,95.5,35.3,24.5,27.5,-3.5,46.7,49.8,10,6,6,23,22,4,8,11
New Jersey Nets,1996,0,0.317,97.2,36.5,24.8,29.0,-4.8,45.7,51.3,1,16,14,17,16,1,2,12
Dallas Mavericks,1996,0,0.293,90.6,34.3,23.4,27.6,-6.5,44.8,48.8,16,23,19,27,25,13,9,17
Philadelphia 76ers,1996,0,0.268,100.2,36.6,29.9,28.7,-6.9,45.3,50.4,4,21,16,2,18,2,3,23
