TEAM,YEAR,IS_CHAMP,WIN%,DREB,NETRTG,OREB%,PIE,REB%,OFFRTG_RANK,TS%_RANK,FGA_RANK,3PM_RANK,OREB_RANK
Chicago Bulls,1996,1,0.841,30.0,11.8,37.4,58.6,52.4,1,7,3,11,3
Utah Jazz,1996,0,0.78,29.4,9.8,32.8,59.0,51.8,2,1,27,27,28
Miami Heat,1996,0,0.744,29.3,6.0,32.4,53.6,50.4,12,8,25,1,21
Houston Rockets,1996,0,0.695,31.3,4.7,31.8,53.6,51.4,7,3,14,2,24
New York Knicks,1996,0,0.695,30.7,3.4,32.3,53.7,51.9,20,9,26,18,20
Seattle SuperSonics,1996,0,0.695,27.7,8.5,34.1,56.2,50.0,3,4,19,9,17
Atlanta Hawks,1996,0,0.683,28.7,6.2,33.4,53.9,50.5,8,12,22,3,14
Los Angeles Lakers,1996,0,0.683,29.4,4.2,34.3,53.0,50.1,9,16,9,10,7
Charlotte Hornets,1996,0,0.659,28.0,2.1,31.6,52.8,49.5,4,2,21,5,26
Detroit Pistons,1996,0,0.659,28.0,5.9,30.2,53.0,49.2,5,5,28,7,29
Portland Trail Blazers,1996,0,0.598,30.4,4.2,35.8,52.7,52.7,10,10,15,13,12
Orlando Magic,1996,0,0.549,27.1,-0.5,33.6,48.6,49.0,17,21,13,8,11
Washington Bullets,1996,0,0.537,29.5,1.5,32.6,52.5,50.3,13,14,8,28,18
Cleveland Cavaliers,1996,0,0.512,26.3,1.9,32.2,51.2,49.9,23,18,29,14,27
Minnesota Timberwolves,1996,0,0.488,28.1,-1.7,32.3,50.1,48.8,16,17,18,26,22
Phoenix Suns,1996,0,0.488,29.0,0.9,29.7,50.9,48.2,6,6,5,12,25
Indiana Pacers,1996,0,0.476,29.1,1.3,33.8,50.4,50.6,15,15,24,22,15
Los Angeles Clippers,1996,0,0.439,27.3,-2.8,33.9,47.5,49.2,18,22,6,17,8
Sacramento Kings,1996,0,0.415,28.1,-4.3,34.8,47.0,50.2,24,20,11,24,5
Milwaukee Bucks,1996,0,0.402,27.6,-2.0,32.9,47.7,50.1,14,13,23,29,23
Golden State Warriors,1996,0,0.366,27.5,-5.0,34.7,46.4,49.7,11,11,12,15,10
Toronto Raptors,1996,0,0.366,27.5,-3.5,35.0,46.7,49.8,21,23,10,6,4
New Jersey Nets,1996,0,0.317,29.0,-4.8,37.6,45.7,51.3,26,29,1,16,1
Dallas Mavericks,1996,0,0.293,27.6,-6.5,33.2,44.8,48.8,28,27,16,23,13
